,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity
0,14.23,1.71,2.43,15.6,127.0,2.8,3.06,0.28,2.29,5.64
1,13.2,1.78,2.14,11.2,100.0,2.65,2.76,0.26,1.28,4.38
2,13.16,@@@,2.67,18.6,101.0,2.8,3.24,0.3,2.81,5.68
3,14.37,1.95,2.5,16.8,113.0,3.85,3.49,0.24,2.18,7.8
4,13.24,2.59,2.87,21.0,118.0,2.8,2.69,0.39,1.82,4.32
5,14.2,1.76,2.45,15.2,112.0,3.27,3.39,0.34,1.97,6.75
6,14.39,1.87,2.45,14.6,96.0,2.5,2.52,0.3,1.98,5.25
7,14.06,2.15,2.61,17.6,121.0,2.6,2.51,0.31,1.25,5.05
8,14.83%,1.71@,,14.0,97.0,2.8,2.98,0.29,1.98,5.2
9,13.86,1.35,2.27,16.0,98.0,2.98,3.15,0.22,1.85,7.22
10,14.1,2.16,2.3,18.0,105.0,2.95,3.32,0.22,2.38,5.75
11,14.12,1.48,2.32,16.8,95.0,2.2,2.43,0.26,1.57,5.0
12,13.75,1.73,2.41,16.0,89.0,2.6,2.76,0.29,1.81,5.6
13,14.75,1.73,2.39,11.4,91.0,3.1,3.69,0.43,2.81,5.4
14,14.38,1.87,2.38,12.0,102.0,3.3,3.64,0.29,2.96,7.5
15,13.63,1.81,2.7,17.2,112.0,2.85,2.91,0.3,1.46,7.3
16,14.3,1.92,2.72,20.0,120.0,2.8,3.14,0.33,1.97,6.2
17,13.83,1.57,2.62,20.0,115.0,2.95,3.4,0.4,1.72,6.6
18,14.19,1.59,2.48,16.5,108.0,3.3,3.93,0.32,1.86,8.7
19,???,3.1,2.56,15.2,116.0,2.7,3.03,0.17,1.66,5.1
20,14.06,1.63,2.28,16.0,126.0,3.0,3.17,0.24,2.1,5.65
21,12.93,3.8,2.65,18.6,102.0,2.41,2.41,0.25,1.98,4.5
22,13.71,1.86,2.36,16.6,101.0,2.61,2.88,0.27,1.69,3.8
23,12.85,1.6,2.52,17.8,95.0,2.48,2.37,0.26,1.46,3.93
24,13.5,1.81,2.61,20.0,96.0,2.53,2.61,0.28,1.66,3.52
25,13.05,2.05,3.22,25.0,124.0,2.63,2.68,0.47,1.92,3.58
26,13.39,1.77,2.62,16.1,93.0,2.85,2.94,0.34,1.45,4.8
27,13.3,1.72,2.14,17.0,94.0,2.4,2.19,0.27,1.35,3.95
28,13.87,1.9,2.8,19.4,107.0,2.95,2.97,0.37,1.76,4.5
29,14.02,1.68,2.21,16.0,96.0,2.65,2.33,0.26,1.98,4.7
30,13.73,1.5,2.7,22.5,101.0,3.0,3.25,0.29,2.38,5.7
31,13.58%,1.33#,,19.1,106.0,2.86,3.19,0.22,1.95,6.9
32,???,1.83,2.36,17.2,104.0,2.42,2.69,0.42,1.97,3.84
33,13.76,1.53,2.7,19.5,132.0,2.95,2.74,0.5,1.35,5.4
34,13.51,1.8,2.65,19.0,110.0,2.35,2.53,0.29,1.54,4.2
35,13.48,1.81,2.41,20.5,100.0,2.7,2.98,0.26,1.86,5.1
36,13.28,1.64,2.84,15.5,110.0,2.6,2.68,0.34,1.36,4.6
37,13.05,1.65,2.55,18.0,98.0,2.45,2.43,0.29,1.44,4.25
38,13.07,1.5,2.1,15.5,98.0,2.4,2.64,0.28,1.37,3.7
39,14.22,3.99,2.51,13.2,128.0,3.0,3.04,0.2,2.08,5.1
40,13.56,1.71,2.31,16.2,117.0,3.15,3.29,0.34,2.34,6.13
41,13.41,3.84,2.12,18.8,90.0,2.45,2.68,0.27,1.48,4.28
42,13.88,1.89,2.59,15.0,101.0,3.25,3.56,0.17,1.7,5.43
43,,3.98,2.29,17.5,103.0,2.64,2.63,0.32,1.66,4.36
44,13.05,1.77,2.1,17.0,107.0,3.0,3.0,0.28,2.03,5.04
45,14.21,4.04,2.44,18.9,111.0,2.85,2.65,0.3,1.25,5.24
46,14.38,3.59,2.28,16.0,102.0,3.25,3.17,0.27,2.19,4.9
47,13.9,1.68,2.12,16.0,101.0,3.1,3.39,0.21,2.14,6.1
48,14.1,2.02,2.4,18.8,103.0,2.75,2.92,0.32,2.38,6.2
49,13.94,1.73,2.27,17.4,108.0,2.88,3.54,0.32,2.08,8.9
50,13.05,1.73,2.04,12.4,92.0,2.72,3.27,0.17,2.91,7.2
51,13.83,1.65,2.6,17.2,94.0,2.45,2.99,0.22,2.29,5.6
