,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,类型
0,2.29,5.64,1.04,3.92,1065.0,class_0
1,1.28,4.38,1.05,3.4,1050.0,class_0
2,2.81,5.68,1.03,3.17,1185.0,class_0
3,2.18,7.8,0.86,3.45,1480.0,class_0
4,1.82,4.32,1.04,2.93,735.0,class_0
5,1.97,6.75,1.05,2.85,1450.0,class_0
6,1.98,5.25,1.02,3.58,1290.0,class_0
7,1.25,5.05,1.06,3.58,1295.0,class_0
8,1.98,5.2,1.08,2.85,1045.0,class_0
9,1.85,7.22,1.01,3.55,1045.0,class_0
10,2.38,5.75,1.25,3.17,1510.0,class_0
11,1.57,5.0,1.17,2.82,1280.0,class_0
12,1.81,5.6,1.15,2.9,1320.0,class_0
13,2.81,5.4,1.25,2.73,1150.0,class_0
14,2.96,7.5,1.2,3.0,1547.0,class_0
15,1.46,7.3,1.28,2.88,1310.0,class_0
16,1.97,6.2,1.07,2.65,1280.0,class_0
17,1.72,6.6,1.13,2.57,1130.0,class_0
18,1.86,8.7,1.23,2.82,1680.0,class_0
19,1.66,5.1,0.96,3.36,845.0,class_0
20,2.1,5.65,1.09,3.71,780.0,class_0
21,1.98,4.5,1.03,3.52,770.0,class_0
22,1.69,3.8,1.11,4.0,1035.0,class_0
23,1.46,3.93,1.09,3.63,1015.0,class_0
24,1.66,3.52,1.12,3.82,845.0,class_0
25,1.92,3.58,1.13,3.2,830.0,class_0
26,1.45,4.8,0.92,3.22,1195.0,class_0
27,1.35,3.95,1.02,2.77,1285.0,class_0
28,1.76,4.5,1.25,3.4,915.0,class_0
29,1.98,4.7,1.04,3.59,1035.0,class_0
30,2.38,5.7,1.19,2.71,1285.0,class_0
31,1.95,6.9,1.09,2.88,1515.0,class_0
32,1.97,3.84,1.23,2.87,990.0,class_0
33,1.35,5.4,1.25,3.0,1235.0,class_0
34,1.54,4.2,1.1,2.87,1095.0,class_0
35,1.86,5.1,1.04,3.47,920.0,class_0
36,1.36,4.6,1.09,2.78,880.0,class_0
37,1.44,4.25,1.12,2.51,1105.0,class_0
38,1.37,3.7,1.18,2.69,1020.0,class_0
39,2.08,5.1,0.89,3.53,760.0,class_0
40,2.34,6.13,0.95,3.38,795.0,class_0
41,1.48,4.28,0.91,3.0,1035.0,class_0
42,1.7,5.43,0.88,3.56,1095.0,class_0
43,1.66,4.36,0.82,3.0,680.0,class_0
44,2.03,5.04,0.88,3.35,885.0,class_0
45,1.25,5.24,0.87,3.33,1080.0,class_0
46,2.19,4.9,1.04,3.44,1065.0,class_0
47,2.14,6.1,0.91,3.33,985.0,class_0
48,2.38,6.2,1.07,2.75,1060.0,class_0
49,2.08,8.9,1.12,3.1,1260.0,class_0
50,2.91,7.2,1.12,2.91,1150.0,class_0
51,2.29,5.6,1.24,3.37,1265.0,class_0
52,1.87,7.05,1.01,3.26,1190.0,class_0
53,1.68,6.3,1.13,2.93,1375.0,class_0
54,1.62,5.85,0.92,3.2,1060.0,class_0
55,2.45,6.25,0.98,3.03,1120.0,class_0
56,2.03,6.38,0.94,3.31,970.0,class_0
57,1.66,6.0,1.07,2.84,1270.0,class_0
58,2.04,6.8,0.89,2.87,1285.0,class_0
59,0.42,1.95,1.05,1.82,520.0,class_1
60,0.41,3.27,1.25,1.67,680.0,class_1
61,0.62,5.75,0.98,1.59,450.0,class_1
62,0.73,3.8,1.23,2.46,630.0,class_1
63,1.87,4.45,1.22,2.87,420.0,class_1
64,1.03,2.95,1.45,2.23,355.0,class_1
65,2.08,4.6,1.19,2.3,678.0,class_1
66,2.28,5.3,1.12,3.18,502.0,class_1
67,1.04,4.68,1.12,3.48,510.0,class_1
68,0.42,3.17,1.02,1.93,750.0,class_1
69,2.5,2.85,1.28,3.07,718.0,class_1
70,1.46,3.05,0.906,1.82,870.0,class_1
71,1.87,3.38,1.36,3.16,410.0,class_1
72,1.03,3.74,0.98,2.78,472.0,class_1
73,1.96,3.35,1.31,3.5,985.0,class_1
74,1.65,3.21,0.99,3.13,886.0,class_1
75,1.15,3.8,1.23,2.14,428.0,class_1
76,1.46,4.6,1.19,2.48,392.0,class_1
77,0.95,2.65,0.96,2.52,500.0,class_1
78,2.76,3.4,1.06,2.31,750.0,class_1
79,1.95,2.57,1.19,3.13,463.0,class_1
80,1.43,2.5,1.38,3.12,278.0,class_1
81,1.77,3.9,1.16,3.14,714.0,class_1
82,1.4,2.2,1.31,2.72,630.0,class_1
83,1.62,4.8,0.84,2.01,515.0,class_1
84,2.35,3.05,0.79,3.08,520.0,class_1
85,1.46,2.62,1.23,3.16,450.0,class_1
86,1.56,2.45,1.33,2.26,495.0,class_1
87,1.34,2.6,1.36,3.21,562.0,class_1
88,1.35,2.8,1.0,2.75,680.0,class_1
89,1.38,1.74,1.07,3.21,625.0,class_1
90,1.64,2.4,1.08,2.27,480.0,class_1
91,1.63,3.6,1.05,2.65,450.0,class_1
92,1.62,3.05,0.96,2.06,495.0,class_1
93,1.99,2.15,1.15,3.3,290.0,class_1
94,1.35,3.25,1.16,2.96,345.0,class_1
95,3.28,2.6,1.16,2.63,937.0,class_1
96,1.56,2.5,0.95,2.26,625.0,class_1
97,1.77,2.9,1.23,2.74,428.0,class_1
98,1.95,4.5,1.04,2.77,660.0,class_1
99,2.81,2.3,1.42,2.83,406.0,class_1
100,1.4,3.3,1.27,2.96,710.0,class_1
101,1.35,2.45,1.04,2.77,562.0,class_1
102,1.31,2.8,0.8,3.38,438.0,class_1
103,1.42,2.06,0.94,2.44,415.0,class_1
104,1.48,2.94,1.04,3.57,672.0,class_1
105,1.42,2.7,0.86,3.3,315.0,class_1
106,1.63,3.4,1.0,3.17,510.0,class_1
107,1.63,3.3,0.88,2.42,488.0,class_1
108,2.08,2.7,0.86,3.02,312.0,class_1
109,2.49,2.65,0.96,3.26,680.0,class_1
110,3.58,2.9,0.75,2.81,562.0,class_1
111,1.22,2.0,0.9,2.78,325.0,class_1
112,1.05,3.8,1.23,2.5,607.0,class_1
113,1.44,3.08,1.1,2.31,434.0,class_1
114,1.04,2.9,0.93,3.19,385.0,class_1
115,2.01,1.9,1.71,2.87,407.0,class_1
116,1.53,1.95,0.95,3.33,495.0,class_1
117,1.61,2.06,1.06,2.96,345.0,class_1
118,0.83,3.4,0.7,2.12,372.0,class_1
119,1.87,1.28,0.93,3.05,564.0,class_1
120,1.83,3.25,0.8,3.39,625.0,class_1
121,1.87,6.0,0.93,3.69,465.0,class_1
122,1.71,2.08,0.92,3.12,365.0,class_1
123,2.01,2.6,0.73,3.1,380.0,class_1
124,2.91,2.8,0.75,3.64,380.0,class_1
125,1.35,2.76,0.86,3.28,378.0,class_1
126,1.77,3.94,0.69,2.84,352.0,class_1
127,1.76,3.0,0.97,2.44,466.0,class_1
128,1.9,2.12,0.89,2.78,342.0,class_1
129,1.35,2.6,0.79,2.57,580.0,class_1
130,0.94,4.1,0.76,1.29,630.0,class_2
131,0.83,5.4,0.74,1.42,530.0,class_2
132,0.83,5.7,0.66,1.36,560.0,class_2
133,0.84,5.0,0.78,1.29,600.0,class_2
134,1.25,5.45,0.75,1.51,650.0,class_2
135,0.94,7.1,0.73,1.58,695.0,class_2
136,0.8,3.85,0.75,1.27,720.0,class_2
137,1.1,5.0,0.82,1.69,515.0,class_2
138,0.88,5.7,0.81,1.82,580.0,class_2
139,0.81,4.92,0.89,2.15,590.0,class_2
140,0.75,4.6,0.77,2.31,600.0,class_2
141,0.64,5.6,0.7,2.47,780.0,class_2
142,0.55,4.35,0.89,2.06,520.0,class_2
143,1.02,4.4,0.91,2.05,550.0,class_2
144,1.14,8.21,0.65,2.0,855.0,class_2
145,1.3,4.0,0.6,1.68,830.0,class_2
146,0.68,4.9,0.58,1.33,415.0,class_2
147,0.86,7.65,0.54,1.86,625.0,class_2
148,1.25,8.42,0.55,1.62,650.0,class_2
149,1.14,9.4,0.57,1.33,550.0,class_2
150,1.25,8.6,0.59,1.3,500.0,class_2
151,1.26,10.8,0.48,1.47,480.0,class_2
152,1.56,7.1,0.61,1.33,425.0,class_2
153,1.87,10.52,0.56,1.51,675.0,class_2
154,1.4,7.6,0.58,1.55,640.0,class_2
155,1.55,7.9,0.6,1.48,725.0,class_2
156,1.56,9.01,0.57,1.64,480.0,class_2
157,1.14,7.5,0.67,1.73,880.0,class_2
158,2.7,13.0,0.57,1.96,660.0,class_2
159,2.29,11.75,0.57,1.78,620.0,class_2
160,1.04,7.65,0.56,1.58,520.0,class_2
161,0.8,5.88,0.96,1.82,680.0,class_2
162,0.96,5.58,0.87,2.11,570.0,class_2
163,0.94,5.28,0.68,1.75,675.0,class_2
164,1.03,9.58,0.7,1.68,615.0,class_2
165,1.15,6.62,0.78,1.75,520.0,class_2
166,1.46,10.68,0.85,1.56,695.0,class_2
167,0.97,10.26,0.72,1.75,685.0,class_2
168,1.54,8.66,0.74,1.8,750.0,class_2
169,1.11,8.5,0.67,1.92,630.0,class_2
170,0.73,5.5,0.66,1.83,510.0,class_2
171,0.64,9.899999,0.57,1.63,470.0,class_2
172,1.24,9.7,0.62,1.71,660.0,class_2
173,1.06,7.7,0.64,1.74,740.0,class_2
174,1.41,7.3,0.7,1.56,750.0,class_2
175,1.35,10.2,0.59,1.56,835.0,class_2
176,1.46,9.3,0.6,1.62,840.0,class_2
177,1.35,9.2,0.61,1.6,560.0,class_2
